Time,VUs   - sdkFxSendE2E 2025-10-13 13:43,Latency(p99)  - sdkFxSendE2E 2025-10-13 13:43,Throughput - sdkFxSendE2E 2025-10-13 13:43,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760363535000,10,8.745428793599999,1.5257857796765335,undefined,undefined,undefined,
1760363540000,10,8.742012029279996,1.444112833349379,undefined,undefined,undefined,
1760363545000,10,8.73859526496,1.5724815724815724,undefined,undefined,undefined,
1760363550000,10,8.734751405099997,1.820713291207026,undefined,undefined,undefined,
1760363555000,10,8.731761736320001,1.440273651993879,undefined,undefined,undefined,
1760363560000,10,8.729199163079999,1.368421052631579,undefined,undefined,undefined,
1760363565000,10,8.725355303219997,1.5353121801432958,undefined,undefined,undefined,
1760363570000,10,8.72151144336,1.590386994168581,undefined,undefined,undefined,
1760363575000,10,8.719375965659998,1.4117172532015732,undefined,undefined,undefined,
1760363580000,10,8.715532105800003,1.6222479721900347,undefined,undefined,undefined,
1760363585000,10,8.71254243702,1.5631105900742477,undefined,undefined,undefined,
1760363590000,10,8.70869857716,1.5387574533564148,undefined,undefined,undefined,
1760363595000,10,8.70641141828,1.7601987989231724,undefined,undefined,undefined,
1760363600000,10,8.705253864840001,1.492258906920351,undefined,undefined,undefined,
1760363605000,10,8.70395161722,1.648564778898371,undefined,undefined,undefined,
1760363610000,10,8.70279406378,1.755291688177594,undefined,undefined,undefined,
1760363615000,10,8.701781204520001,1.522533495736906,undefined,undefined,undefined,
1760363620000,10,8.70076834526,1.347169811320755,undefined,undefined,undefined,
1760363625000,10,8.69946609764,1.9002375296912113,undefined,undefined,undefined,
1760363630000,10,8.69816385002,1.5316541865214433,undefined,undefined,undefined,
1760363632456,,,,,,,moja-centralledger-handler-transfer-get-7df7f8dcc4-2z56d killed
1760363635000,10,8.69700629658,1.4432464555564988,undefined,undefined,undefined,
1760363640000,10,8.696427519859999,1.162227602905569,undefined,undefined,undefined,
1760363645000,10,8.69555935478,1.018387314439946,undefined,undefined,undefined,
1760363650000,10,8.71211534148,1.5636401542791618,0.0015826317351004245,undefined,0.0015826317351004245,
1760363655000,10,8.708271481619999,1.4756517461878997,0.0012334100185455988,undefined,0.0012334100185455988,
1760363660000,10,8.70641141828,1.6323199347072024,undefined,undefined,undefined,
1760363665000,10,8.70539855902,1.4258071086668704,undefined,undefined,undefined,
1760363670000,10,8.70438569976,1.448975367418754,undefined,undefined,undefined,
1760363675000,10,8.703228146319999,1.6189962223421477,undefined,undefined,undefined,
1760363680000,10,8.701781204520001,1.6716196136701336,undefined,undefined,undefined,
1760363685000,10,8.70091303944,1.6364938120077734,undefined,undefined,undefined,
1760363690000,10,8.69990018018,1.3050898504166248,undefined,undefined,undefined,
1760363695000,10,8.698742626740001,1.3808340237503454,undefined,undefined,undefined,
1760363700000,10,8.697585073299999,1.5804030027657052,undefined,undefined,undefined,
1760363705000,10,8.69657221404,1.6432953549517966,undefined,undefined,undefined,
1760363710000,10,8.695848743140001,1.2053856463994153,undefined,undefined,undefined,
1760363715000,10,8.708730939719999,1.4166981488477521,undefined,undefined,undefined,
1760363720000,10,8.70752580876,1.609896627690222,undefined,undefined,undefined,
1760363725000,10,8.706556112460001,1.543358734445838,undefined,undefined,undefined,
1760363730000,10,8.70539855902,1.4906091622776507,undefined,undefined,undefined,
1760363735000,10,8.70453039394,1.4132495812395311,undefined,undefined,undefined,
1760363740000,10,8.703083452140001,1.6976127320954906,undefined,undefined,undefined,
1760363745000,10,8.7019258987,1.5096871592719951,undefined,undefined,undefined,
1760363750000,10,8.70091303944,1.4406454091432963,undefined,undefined,undefined,
1760363754204,,,,,,,moja-centralledger-handler-transfer-fulfil-55ddd6d46c-nr46p killed
1760363755000,10,8.699032015100002,1.6181229773462786,undefined,undefined,undefined,
1760363760000,10,8.699032015100002,1.3216962255570714,undefined,undefined,undefined,
1760363765000,10,8.730642262499998,1.63826998689384,undefined,undefined,undefined,
1760363770000,10,8.728883109899998,0.9748995087092454,undefined,undefined,undefined,
1760363775000,10,8.726244381,1.3789299503585217,undefined,undefined,undefined,
1760363780000,10,8.724778420500003,1.3305455236647024,undefined,undefined,undefined,
1760363785000,10,8.722139691599997,1.454998960715028,undefined,undefined,undefined,
1760363790000,10,8.719978828679999,1.6809861785580873,undefined,undefined,undefined,
1760363795000,10,8.71917540804,1.4554628371822238,undefined,undefined,undefined,
1760363800000,10,8.71810418052,1.4360447225356445,undefined,undefined,undefined,
1760363805000,10,8.71716685644,1.6947237600271154,undefined,undefined,undefined,
1760363810000,10,8.71649733924,1.145366039896917,undefined,undefined,undefined,
1760363815000,10,8.84706270398998,1.4135044036098727,undefined,undefined,undefined,
1760363820000,10,8.831608266689996,1.9745502413339184,undefined,undefined,undefined,
1760363825000,10,8.819244716850008,1.5103205235777817,undefined,undefined,undefined,
1760363830000,10,8.808426610739982,1.4351320321469576,undefined,undefined,undefined,
1760363835000,10,8.794517617169992,1.5751132112620596,undefined,undefined,undefined,
1760363840000,10,8.785244954790004,1.6541685046316719,undefined,undefined,undefined,
1760363845000,10,8.76979051748998,1.722096652674631,undefined,undefined,undefined,
1760363850000,10,8.758972411379991,1.6338298894762135,undefined,undefined,undefined,
1760363855000,10,8.751245192729996,1.284246575342466,undefined,undefined,undefined,
1760363860000,10,8.747061020100002,1.552634302867198,undefined,undefined,undefined,
1760363865000,10,8.744422291199998,1.8036833111828368,undefined,undefined,undefined,
