Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760375515000,10,undefined,9.036337727,1.765571358509073,undefined,undefined,undefined,undefined,undefined,
1760375520000,10,undefined,9.027891596059991,1.4812071838548417,undefined,undefined,undefined,undefined,undefined,
1760375525000,10,undefined,9.016630088140001,1.4724442574673962,undefined,undefined,undefined,undefined,undefined,
1760375530000,10,undefined,9.003960891729998,1.6328882912304294,undefined,undefined,undefined,undefined,undefined,
1760375535000,10,undefined,8.992699383809992,1.6281965328991477,undefined,undefined,undefined,undefined,undefined,
1760375540000,10,undefined,8.98425325287,1.3973450444156104,undefined,undefined,undefined,undefined,undefined,
1760375545000,10,undefined,8.972991744949994,1.530389156099694,undefined,undefined,undefined,undefined,undefined,
1760375550000,10,undefined,8.960322548540006,1.7849643007139857,undefined,undefined,undefined,undefined,undefined,
1760375555000,10,undefined,8.94765335213,1.629696695337257,undefined,undefined,undefined,undefined,undefined,
1760375560000,10,undefined,8.929353401760002,1.6338655774229485,undefined,undefined,undefined,undefined,undefined,
1760375565000,10,undefined,8.929353401760002,1.252274412855377,undefined,undefined,undefined,undefined,undefined,
1760375570000,10,undefined,8.915276516859999,1.8081259306530526,undefined,undefined,undefined,undefined,undefined,
1760375575000,10,undefined,8.901199631959996,1.7562346329469616,undefined,undefined,undefined,undefined,undefined,
1760375580000,10,undefined,8.89538617162,1.5138612924590784,undefined,undefined,undefined,undefined,undefined,
1760375585000,10,undefined,8.894838052479999,1.2082158679017319,undefined,undefined,undefined,undefined,undefined,
1760375590000,10,undefined,8.956788155280003,1.385315654066891,undefined,undefined,undefined,undefined,undefined,
